substrate_type,initial_conc_g_cod_l,anode_material,anode_surface_area_m2,anolyte_volume_ml,cathode_material,cathode_surface_area_m2,catholyte_volume_ml,pH,temperature_c,anode_S_V_ratio_m2_m3,cathode_S_V_ratio_m2_m3,max_power_density_w_m2,anode_description,cathode_description,substrate_description
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60,pt/c-modified carbon paper,0.0025,60,7.2,34,3.333333333,41.66666667,1.05,three-dimensional fibrous network; interconnected macroporous architecture; flame-roughened fiber surfaces; high specific surface area | nanostructured iron oxide surface; enhanced surface hydrophilicity; high specific surface area; strong biofilm adhesion | enhanced microbial adhesion; robust electroactive biofilm; improved extracellular electron transfer; biocompatible iron oxide surface | high electrical conductivity; low charge-transfer resistance; enhanced redox-active oxide sites; improved capacitive behavior,porous carbon fiber scaffold; dispersed Pt/C nanoparticles; high catalyst surface area; open macroporous pathways | high electroactive surface area; dispersed Pt/C nanoparticles; abundant ORR catalytic sites; porous carbon fiber network | enhanced biofilm attachment; improved extracellular electron transfer; biocompatible carbon support; platinum nanoparticle biotoxicity risk | high electrical conductivity; low charge-transfer resistance; enhanced electrocatalytic activity; improved current density,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60,pt/c-modified carbon paper,0.0025,60,7.2,40,3.333333333,41.66666667,1,three-dimensional fibrous network; interconnected macroporous architecture; flame-roughened fiber surfaces; high specific surface area | nanostructured iron oxide surface; enhanced surface hydrophilicity; high specific surface area; strong biofilm adhesion | enhanced microbial adhesion; robust electroactive biofilm; improved extracellular electron transfer; biocompatible iron oxide surface | high electrical conductivity; low charge-transfer resistance; enhanced redox-active oxide sites; improved capacitive behavior,porous carbon fiber scaffold; dispersed Pt/C nanoparticles; high catalyst surface area; open macroporous pathways | high electroactive surface area; dispersed Pt/C nanoparticles; abundant ORR catalytic sites; porous carbon fiber network | enhanced biofilm attachment; improved extracellular electron transfer; biocompatible carbon support; platinum nanoparticle biotoxicity risk | high electrical conductivity; low charge-transfer resistance; enhanced electrocatalytic activity; improved current density,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
propanethiol,1.155,carbon brush,0.0022,70,platinum,0.000225,70,,,31.42857143,3.214285714,0.0152,three-dimensional fibrous architecture; high specific surface area; open macroporous network; radial carbon fiber bristles | high specific surface area; porous fibrous surface; microscale surface roughness; tunable oxygen functionalization | strong microbial adhesion; dense electroactive biofilm; biocompatible carbon fibers; enhanced extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient extracellular electron transfer; high current density,nanoscale platinum particle dispersion; high electroactive surface area; thin catalytic coating; porous carbon-supported catalyst layer | high catalytic active-site density; strong oxygen adsorption; corrosion-resistant noble surface; poisoning-sensitive adsorption sites | excellent biocompatibility; limited bacterial adhesion; low microbial toxicity; biogenic sulfide poisoning | excellent electrical conductivity; low charge-transfer resistance; high catalytic activity; superior corrosion resistance,limited aqueous solubility; high theoretical COD; strong thiol toxicity; poor fermentability biodegradability
synthetic wastewater from sodium acetate,1,carbon felt,0.002,80,carbon felt,0.002,80,,,25,25,0.275,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,three-dimensional fibrous network; high porosity; large surface area; interconnected macroporous channels | high specific surface area; porous fibrous network; rough microstructured surface; oxygen-containing functional groups | good biocompatibility; high microbial adhesion; rough fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge-transfer resistance; capacitive surface behavior; fast electron transfer kinetics,high aqueous solubility; readily biodegradable COD; low substrate toxicity; non-fermentable acetate carbon
wastewater,0.7,iron-coated carbon cloth,0.0006,84,platinum on carbon cloth,0.0006,84,,25,7.142857143,7.142857143,0.08,woven carbon fiber substrate; conformal iron coating; hierarchical surface roughness; open porous architecture | enhanced surface roughness; large electroactive surface area; improved hydrophilicity; iron oxide redox-active sites | enhanced microbial adhesion; robust electroactive biofilm; iron-mediated electron transfer; biocompatible redox-active surface | enhanced electrical conductivity; low charge transfer resistance; improved electron transfer kinetics; iron-mediated redox activity,Pt nanoparticles on carbon fibers; woven macroporous carbon cloth; high electroactive surface area; conductive fibrous network | high Pt active-site density; large electroactive surface area; uniform Pt nanoparticle dispersion; porous fibrous carbon texture | moderate microbial adhesion; biocompatible carbon cloth scaffold; platinum-associated cytotoxicity risk; biofouling-sensitive catalytic sites | high electrical conductivity; low charge-transfer resistance; superior oxygen reduction activity; high exchange current density,mixed soluble/particulate organics; variable moderate-to-high COD; readily biodegradable fraction; potential inhibitory contaminants
wastewater,0.7,bare carbon cloth,0.0006,84,platinum on carbon cloth,0.0006,84,,25,7.142857143,7.142857143,0.04,woven carbon fiber network; macroporous textile architecture; high geometric surface area; flexible binder-free substrate | hydrophobic carbon fiber surface; woven macroporous texture; low oxygen functional groups; moderate biofilm adhesion | moderate microbial adhesion; biocompatible carbon surface; macroporous biofilm scaffold; limited surface functional groups | moderate electrical conductivity; low charge-transfer resistance; limited electroactive surface area; capacitive carbon interface,Pt nanoparticles on carbon fibers; woven macroporous carbon cloth; high electroactive surface area; conductive fibrous network | high Pt active-site density; large electroactive surface area; uniform Pt nanoparticle dispersion; porous fibrous carbon texture | moderate microbial adhesion; biocompatible carbon cloth scaffold; platinum-associated cytotoxicity risk; biofouling-sensitive catalytic sites | high electrical conductivity; low charge-transfer resistance; superior oxygen reduction activity; high exchange current density,mixed soluble/particulate organics; variable moderate-to-high COD; readily biodegradable fraction; potential inhibitory contaminants
sodium lactate with succinic acid,1.92,nickel modified with graphene,0.0002,100,nickel modified with graphene,0.0002,100,,32,2,2,0.000468,graphene-coated nickel framework; high specific surface area; hierarchical porous architecture; nanoscale surface roughness | large electroactive surface area; enhanced surface roughness; nickel catalytic active sites; improved biofilm adhesion | enhanced bacterial adhesion; robust electroactive biofilm; extracellular electron transfer mediation; potential nickel ion toxicity | high electrical conductivity; low charge-transfer resistance; enhanced electrocatalytic activity; rapid electron transfer,high specific surface area; three-dimensional porous network; graphene nanosheet coating; rough nanostructured surface | high specific surface area; nanoscale surface roughness; abundant catalytic nickel sites; enhanced biofilm adhesion | enhanced microbial adhesion; dense electroactive biofilm; improved extracellular electron transfer; reduced nickel cytotoxicity | high electrical conductivity; low charge-transfer resistance; enhanced electron-transfer kinetics; large electroactive surface area,high aqueous solubility; moderate COD loading; low microbial toxicity; readily biodegradable fermentable organics
sodium acetate,4.68,carbon felt,3.20E-05,128,carbon paper,3.20E-05,128,,24.85,0.25,0.25,0.045,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
breeding wastewater,42.843,nickel-coated sponge,0.0005,150,carbon paper,0.001,150,7.37,30,3.333333333,6.666666667,0.35092,open-cell sponge architecture; interconnected macropore network; large biofilm attachment area; nickel-coated porous skeleton | high specific surface area; open-cell porous architecture; rough nickel coating; enhanced biofilm adhesion | enhanced microbial adhesion; electroactive biofilm enrichment; porous biofilm habitat; nickel ion cytotoxicity risk | high electrical conductivity; low charge-transfer resistance; enhanced electron transfer; stable electrochemical activity,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,high COD; partially soluble organics; high biodegradability; ammonia inhibitory potential
autoclaved breeding wastewater,28.955,nickel-coated sponge,0.0005,150,carbon paper,0.001,150,7.37,30,3.333333333,6.666666667,0.43822,open-cell sponge architecture; interconnected macropore network; large biofilm attachment area; nickel-coated porous skeleton | high specific surface area; open-cell porous architecture; rough nickel coating; enhanced biofilm adhesion | enhanced microbial adhesion; electroactive biofilm enrichment; porous biofilm habitat; nickel ion cytotoxicity risk | high electrical conductivity; low charge-transfer resistance; enhanced electron transfer; stable electrochemical activity,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,high soluble COD; moderate ammonia toxicity; readily biodegradable organics; high fermentability
acetate,0.316,carbon felt,0.003,160,pt/carbon paper,0.0008,160,7.2,37,18.75,5,0.213,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,platinum nanoparticle coating; porous carbon fiber network; large electroactive surface area; thin flexible sheet | dispersed platinum nanoparticles; high electroactive surface area; porous carbon fiber network; moderate hydrophobic surface | biocompatible carbon fiber scaffold; moderate biofilm adhesion; platinum-related microbial inhibition; cathodic biofouling susceptibility | high electrical conductivity; low charge-transfer resistance; enhanced oxygen reduction kinetics; stable cathodic catalytic activity,high aqueous solubility; moderate theoretical COD; low toxicity; readily biodegradable nonfermentable
municipal solid wastewater,5.46,graphite,0.0189,65,graphite,0.0132,65,7.55,22,290.7692308,203.0769231,0.019780952,layered crystalline carbon; low intrinsic porosity; limited specific surface area; rigid planar morphology | biocompatible carbon surface; low specific surface area; moderate surface roughness; limited oxygen functional groups | good biocompatibility; electroactive biofilm support; moderate bacterial adhesion; low surface toxicity | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,layered graphitic crystallites; dense nonporous matrix; low specific surface area; smooth planar surfaces | low specific surface area; hydrophobic basal planes; limited oxygen functional groups; chemical surface stability | excellent microbial biocompatibility; electroactive biofilm adhesion; low cytotoxicity; stable biofilm support | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability; moderate double-layer capacitance,partly soluble organics; low-to-moderate COD; low toxicity; readily biodegradable fermentables
rice straw,3.8,carbon paper,0.001,200,carbon paper,0.001,200,,30,5,5,0.11935,porous fibrous network; interconnected macroporous voids; large specific surface area; thin planar sheet geometry | macroporous fibrous surface; moderate specific surface area; hydrophobic carbon surface; biofilm-supportive surface texture | biocompatible inert carbon surface; moderate microbial adhesion; fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge transfer resistance; broad electrochemical stability; efficient extracellular electron transfer,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,low aqueous solubility; high lignocellulosic COD; low inherent toxicity; pretreatment-dependent fermentability
potato peels,,carbon paper,0.001,200,carbon paper,0.001,200,,30,5,5,0.15255,porous fibrous network; interconnected macroporous voids; large specific surface area; thin planar sheet geometry | macroporous fibrous surface; moderate specific surface area; hydrophobic carbon surface; biofilm-supportive surface texture | biocompatible inert carbon surface; moderate microbial adhesion; fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge transfer resistance; broad electrochemical stability; efficient extracellular electron transfer,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,low-solubility carbohydrate solids; high COD; low toxicity; high biodegradability and fermentability
citrus waste,3,plain graphite plate,0.003,200,plain graphite plate,0.003,200,7,,15,15,0.0711,flat planar geometry; dense nonporous structure; smooth low-roughness surface; limited specific surface area | low specific surface area; smooth planar surface; hydrophobic graphitic surface; sparse oxygen functional groups | biocompatible carbon surface; moderate biofilm adhesion; low colonization surface area; limited direct electron transfer | moderate electrical conductivity; low ohmic resistance; wide electrochemical stability window; limited electrocatalytic activity,flat planar geometry; smooth low-porosity surface; limited specific surface area; rigid dense graphite | low specific surface area; smooth planar morphology; hydrophobic graphitic surface; limited surface functional groups | biocompatible carbon surface; moderate bacterial adhesion; limited biofilm surface area; chemically inert interface | good electrical conductivity; low ohmic resistance; wide potential window; high electrochemical stability,high organic COD; readily fermentable sugars; biodegradable pectin-cellulose fraction; limonene-derived microbial inhibition
citrus waste,6,plain graphite plate,0.003,200,plain graphite plate,0.003,200,7,,15,15,0.0634,flat planar geometry; dense nonporous structure; smooth low-roughness surface; limited specific surface area | low specific surface area; smooth planar surface; hydrophobic graphitic surface; sparse oxygen functional groups | biocompatible carbon surface; moderate biofilm adhesion; low colonization surface area; limited direct electron transfer | moderate electrical conductivity; low ohmic resistance; wide electrochemical stability window; limited electrocatalytic activity,flat planar geometry; smooth low-porosity surface; limited specific surface area; rigid dense graphite | low specific surface area; smooth planar morphology; hydrophobic graphitic surface; limited surface functional groups | biocompatible carbon surface; moderate bacterial adhesion; limited biofilm surface area; chemically inert interface | good electrical conductivity; low ohmic resistance; wide potential window; high electrochemical stability,high organic COD; readily fermentable sugars; biodegradable pectin-cellulose fraction; limonene-derived microbial inhibition
citrus waste,9,plain graphite plate,0.003,200,plain graphite plate,0.003,200,7,,15,15,0.0562,flat planar geometry; dense nonporous structure; smooth low-roughness surface; limited specific surface area | low specific surface area; smooth planar surface; hydrophobic graphitic surface; sparse oxygen functional groups | biocompatible carbon surface; moderate biofilm adhesion; low colonization surface area; limited direct electron transfer | moderate electrical conductivity; low ohmic resistance; wide electrochemical stability window; limited electrocatalytic activity,flat planar geometry; smooth low-porosity surface; limited specific surface area; rigid dense graphite | low specific surface area; smooth planar morphology; hydrophobic graphitic surface; limited surface functional groups | biocompatible carbon surface; moderate bacterial adhesion; limited biofilm surface area; chemically inert interface | good electrical conductivity; low ohmic resistance; wide potential window; high electrochemical stability,high organic COD; readily fermentable sugars; biodegradable pectin-cellulose fraction; limonene-derived microbial inhibition
citrus waste,12,plain graphite plate,0.003,200,plain graphite plate,0.003,200,7,,15,15,0.0485,flat planar geometry; dense nonporous structure; smooth low-roughness surface; limited specific surface area | low specific surface area; smooth planar surface; hydrophobic graphitic surface; sparse oxygen functional groups | biocompatible carbon surface; moderate biofilm adhesion; low colonization surface area; limited direct electron transfer | moderate electrical conductivity; low ohmic resistance; wide electrochemical stability window; limited electrocatalytic activity,flat planar geometry; smooth low-porosity surface; limited specific surface area; rigid dense graphite | low specific surface area; smooth planar morphology; hydrophobic graphitic surface; limited surface functional groups | biocompatible carbon surface; moderate bacterial adhesion; limited biofilm surface area; chemically inert interface | good electrical conductivity; low ohmic resistance; wide potential window; high electrochemical stability,high organic COD; readily fermentable sugars; biodegradable pectin-cellulose fraction; limonene-derived microbial inhibition
synthetic wastewater,3,carbon cloth,0.0004,200,stainless steel,0.0004,200,7,28,2,2,0.0008,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,dense nonporous microstructure; smooth metallic surface; rigid mechanical framework; configurable mesh geometry | passive chromium oxide layer; low intrinsic surface roughness; moderate microbial adhesion; corrosion-resistant surface chemistry | good microbial biocompatibility; moderate biofilm adhesion; passive chromium oxide interface; metal ion leaching toxicity | moderate electrical conductivity; low ohmic resistance; corrosion-resistant passive film; stable electrode potential,high aqueous solubility; tunable COD loading; low toxicity; readily biodegradable organics
synthetic wastewater,3,graphene oxide modified carbon cloth,0.0004,200,stainless steel,0.0004,200,7,28,2,2,0.0016,three-dimensional woven fibrous scaffold; graphene oxide nanosheet coating; hierarchical porous network; roughened high-area surface | oxygenated surface functional groups; enhanced surface hydrophilicity; roughened nanoscale topography; increased biofilm adhesion | enhanced bacterial adhesion; hydrophilic oxygenated surface; improved biofilm colonization; extracellular electron transfer sites | enhanced electrical conductivity; low charge transfer resistance; high specific capacitance; rapid electron transfer kinetics,dense nonporous microstructure; smooth metallic surface; rigid mechanical framework; configurable mesh geometry | passive chromium oxide layer; low intrinsic surface roughness; moderate microbial adhesion; corrosion-resistant surface chemistry | good microbial biocompatibility; moderate biofilm adhesion; passive chromium oxide interface; metal ion leaching toxicity | moderate electrical conductivity; low ohmic resistance; corrosion-resistant passive film; stable electrode potential,high aqueous solubility; tunable COD loading; low toxicity; readily biodegradable organics
synthetic wastewater,3,electrochemically reduced graphene oxide modified carbon cloth,0.0004,200,stainless steel,0.0004,200,7,28,2,2,0.014,3D fibrous carbon scaffold; wrinkled graphene coating; high surface roughness; interconnected porous network | large electroactive surface area; enhanced nanoscale roughness; improved surface hydrophilicity; residual oxygen functional groups | enhanced bacterial adhesion; dense electroactive biofilm; improved biocompatibility; facilitated extracellular electron transfer | high electrical conductivity; low charge transfer resistance; enhanced electron transfer kinetics; high double-layer capacitance,dense nonporous microstructure; smooth metallic surface; rigid mechanical framework; configurable mesh geometry | passive chromium oxide layer; low intrinsic surface roughness; moderate microbial adhesion; corrosion-resistant surface chemistry | good microbial biocompatibility; moderate biofilm adhesion; passive chromium oxide interface; metal ion leaching toxicity | moderate electrical conductivity; low ohmic resistance; corrosion-resistant passive film; stable electrode potential,high aqueous solubility; tunable COD loading; low toxicity; readily biodegradable organics
real dairy wastewater,8,carbon cloth,0.005,200,platinum,0.005,200,7.4,30,25,25,0.06227,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,nanoscale platinum particle dispersion; high electroactive surface area; thin catalytic coating; porous carbon-supported catalyst layer | high catalytic active-site density; strong oxygen adsorption; corrosion-resistant noble surface; poisoning-sensitive adsorption sites | excellent biocompatibility; limited bacterial adhesion; low microbial toxicity; biogenic sulfide poisoning | excellent electrical conductivity; low charge-transfer resistance; high catalytic activity; superior corrosion resistance,high COD load; low toxicity; readily biodegradable organics; highly fermentable organics
sodium acetate,1.664,graphite felt,0.0042,250,platinum coated carbon cloth,0.0042,250,,,16.8,16.8,0.329,three-dimensional fibrous network; high porosity; large specific surface area; interconnected macroporous channels | large accessible surface area; macroporous fibrous architecture; rough microtextured fibers; hydrophobic low-polarity surface | high biocompatibility; dense electroactive biofilm colonization; fibrous macroporous biofilm scaffold; low microbial cytotoxicity | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; high double-layer capacitance,woven fibrous carbon scaffold; conformal platinum coating; high electroactive surface area; interconnected macroporous network | uniform platinum nanoparticle coating; abundant catalytic active sites; high electroactive surface area; porous woven fiber topology | enhanced microbial adhesion; stable biofilm formation; efficient extracellular electron transfer; platinum cytotoxicity risk | high electrical conductivity; low charge-transfer resistance; excellent oxygen reduction catalysis; low cathodic overpotential,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
glucose,5.335,carbon cloth with granular activated carbon,0.0049,250,carbon cloth with pvdf paste,0.0014,,8,35,19.6,,0.06569898,macroporous woven carbon cloth; packed granular activated carbon; high surface-area microporosity; interconnected pore network | high specific surface area; hierarchical porous texture; rough biofilm-supporting surface; oxygenated surface functional groups | enhanced microbial adhesion; high biofilm biomass retention; porous bacterial colonization sites; facilitated extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; enhanced capacitive behavior; efficient extracellular electron transfer,woven carbon fiber network; macroporous textile scaffold; PVDF binder coating; flexible porous electrode | hydrophobic PVDF binder coating; woven fibrous carbon texture; moderate surface roughness; reduced accessible carbon area | biocompatible carbon fibers; stable biofilm anchorage; enhanced bacterial adhesion; hydrophobic PVDF domains | high electrical conductivity; low internal resistance; rapid electron transfer kinetics; stable electrochemical response,high aqueous solubility; high theoretical COD; low microbial toxicity; rapid biodegradability and fermentability
sodium acetate,1.56,carbon cloth,0.0025,300,platinum on carbon cloth,0.0025,300,7,20,8.333333333,8.333333333,0.185,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,Pt nanoparticles on carbon fibers; woven macroporous carbon cloth; high electroactive surface area; conductive fibrous network | high Pt active-site density; large electroactive surface area; uniform Pt nanoparticle dispersion; porous fibrous carbon texture | moderate microbial adhesion; biocompatible carbon cloth scaffold; platinum-associated cytotoxicity risk; biofouling-sensitive catalytic sites | high electrical conductivity; low charge-transfer resistance; superior oxygen reduction activity; high exchange current density,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
cashew apple juice,,carbon coated on carbon cloth,0.005,300,platinum on carbon coated carbon cloth,0.005,300,4.1,,16.66666667,16.66666667,0.03158,porous carbon coating; roughened fiber surface; high specific surface area; interconnected macroporous cloth network | large electroactive surface area; rough carbon-coated surface; porous carbon texture; enhanced biofilm adhesion | enhanced microbial adhesion; biocompatible carbon interface; high biofilm loading; efficient extracellular electron transfer | high electrical conductivity; low charge transfer resistance; enhanced electron transfer kinetics; stable capacitive behavior,woven carbon cloth substrate; porous carbon catalyst coating; nanoscale platinum dispersion; high surface area network | high Pt nanoparticle dispersion; large electroactive surface area; rough porous carbon texture; abundant ORR active sites | high microbial adhesion; biocompatible carbon cloth; improved biofilm electron transfer; platinum-associated cytotoxic risk | high electrical conductivity; low charge transfer resistance; rapid electron transfer kinetics; high oxygen reduction activity,highly soluble sugars; high COD; low toxicity; readily biodegradable and fermentable
sodium acetate,1.04,carbon felt,0.0256,320,carbon felt,0.0256,320,7,30,80,80,1.29,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,three-dimensional fibrous network; high porosity; large surface area; interconnected macroporous channels | high specific surface area; porous fibrous network; rough microstructured surface; oxygen-containing functional groups | good biocompatibility; high microbial adhesion; rough fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge-transfer resistance; capacitive surface behavior; fast electron transfer kinetics,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
sodium acetate,2.5,carbon felt,8.60E-05,0.346,carbon paper,8.60E-05,0.346,,24.85,248.5549133,248.5549133,0.061,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
sodium acetate,2.5,carbon felt,3.20E-05,0.346,carbon paper,3.20E-05,0.346,,24.85,92.48554913,92.48554913,0.045,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
"domestic organic waste(mixed vegetables, rice, bread, fish pieces)",,carbon rod,0.001,350,carbon rod,0.001,350,,24,2.857142857,2.857142857,0.0001047,solid cylindrical geometry; smooth external surface; low specific surface area; rigid monolithic structure | low specific surface area; smooth nonporous surface; biocompatible carbon interface; limited microbial adhesion sites | biocompatible inert surface; electroactive biofilm support; moderate microbial adhesion; low surface colonization area | high electrical conductivity; low ohmic resistance; wide potential window; high electrochemical stability,rigid cylindrical geometry; nonporous graphitic structure; smooth low-surface-area surface; macroscopic current collector | low specific surface area; smooth surface morphology; limited oxygen functional groups; moderate biofilm adhesion | biocompatible carbon surface; electroactive biofilm support; low microbial toxicity; limited microbial attachment sites | high electrical conductivity; low ohmic resistance; broad potential window; moderate charge-transfer kinetics,partially soluble particulate matrix; high COD; low inherent toxicity; high biodegradability and fermentability
glucose,0.533,bio-nickel doped carbon felt,0.0012,350,carbon felt,0.0012,350,7.2,30,3.428571429,3.428571429,0.13072,interconnected carbon fiber scaffold; hierarchical macroporous network; high specific surface area; uniform nickel nanoparticle distribution | Ni-enriched active sites; increased surface roughness; improved hydrophilicity; enhanced microbial adhesion | enhanced microbial adhesion; robust electroactive biofilm; facilitated extracellular electron transfer; nickel-mediated redox activity | enhanced electrical conductivity; low charge-transfer resistance; strong redox catalytic activity; fast extracellular electron transfer,three-dimensional fibrous network; high porosity; large surface area; interconnected macroporous channels | high specific surface area; porous fibrous network; rough microstructured surface; oxygen-containing functional groups | good biocompatibility; high microbial adhesion; rough fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge-transfer resistance; capacitive surface behavior; fast electron transfer kinetics,high aqueous solubility; high theoretical COD; low microbial toxicity; rapid biodegradability and fermentability
